500	0.1
911	1.0
1968	2.0
My	2.0.2
annespencer	2.6.1
AOD	1.0
aodbootstrap	1.1.1
apc	0.1
asu	2.0
ArchaebotDatabase	2.4
Archaeobib	1.0
Archives	2
AreaStudies	2
beeldbank	1.1.1
Astrolabe	1.0-rc.2
AvantgardeActualite	1
Avant	1.1
BADAC	2.3.1
bannerstone	1.2
basic2	1.3
exhibits	1.0.0
bdcdl2020	0.3.6
becker	1.0
beeps	2.1.3
BellerExhibit	1.0
Berlin	2.7.5
pedagogyandpower	2.6
bl1969	2.2
BerlinCliotropic	1.3
berlinbabel	0.0.1
BGSU	1.0
BGSUTemplate	1.3
BigPicture	1.6.6
bigpicturevma	1.2-special
exhibitsucah	1.2
BigStuff	1.0
Boldly	1.1
Boop	2.2
ssplbootstrap	2.2.1
bootstrap	2.1
baki	1.1
clips	2.0.2
Bracero	2.5
Bucket	1.0-dev
burke	2
Butler75	2.0
CenterRow	1.8.1
cvillerally	0.0.1
ChinaLocal	2.0
foundationecr	1.0.1
clew2	1.1.1
Communities	2.3
aviationcustom	1.1
connolly	2.3
Consortium	2.4
CRIA	2.0
CULGeneral	2.0
CULShowCollection	2.0
curatescape	3.5.4
cust	2.2
Dada	2.2
Dark	1.3
Deco	0.9.6.4
hvddh	1.0.2
chinalocal	2.3
DigitalBlackGirls	1.0
digitalchicagoOLD	1.0
digital	2
DigitalGallery	0.1.0
Directive	1
DIYH	2.1.3
realia	2
DS	1.4.2
eba	2.1.3
ebav3	3
ecr	2.6
EHRIEditions	1.3.6
jaguarcolombiano	1.1
Emiglio	2.4.5
EmiglioRemix	1.0.0
ESpace	0.0.2
denisonexpandingarchives	0.5
ExperimentalBeijing	2.3.1
Falmouth	1.0
Fichero	2.4
flexclassic	0.0.1
Flow	1.1
ForbesLibrary	2.9
gescholars	2.6
Foundation	1.4.0
Freedom	1.0.2
FromScratch	1.5
gail	2.1
GDAO	2.0
GerouldArchivesDev	1.5
GerouldTributeDevelopment	1
GLAM	0.0.3
GHC	1.0
Greenlock	2.2
Griddy	1.1
Grinnell	2.1.6
GrinnellAvantegarde	1
Guarani	1.0
	2.3.1
Harlem	2.3
DevHispanicLiverpoolCC	2.3
princetonslavery	2.4.0
mall	2.1
Hurricane	1.2
IBSS	2.2.1
clew	1.1.1
IDHPMadeMinimal	1
woosterwomeninsports	0.5
isaw	0.1
indianaublackfilmhistory	1.0.0
IULibraries	1.0
KDNP	2.3.1
Killgrove	2.3.2
culgenerallegacy	2.0
Lively	1.0.0
LuceHackathon	1.0
mtp	1.4.2
MappingLowell	1.0
MappingNorthlake	1
MappingParis	1.0
MaterialLDHI	1.0
MCoS	0.1
Minimalist	2.5.4
MOL	0.1
bridgingcultures	0.1
Mutter	2.1.1
Napoleon	0.4.1
NeatLight	0.1
NeatlineThin	1.0
Neatscape	1.0.0
Northfield	2.1
adminverhalenbank	
blank	1.0
RBSCP	1.1.1
commons	2.1
foundation	2.0
iTS	1.0.3
tarter	1.1.1
ahistoryofmason	0.9.6.4
Perinum	0.1.0
Philly	1.0
PhillySigns	1.0
docmap	1.5
Pinstripe2	2.1.1
PowerofPlace	1.0
prsvlft	2.1.1
RBML	2.0
RBMLRotator	2
Rhythm	2.4.4
SantaFe	2.6.2
SCKLS	1.1.0
nciarchive	1.1.0
Scribe	2.0
Seasons	2.7
SeasonsAHP	1.0
Ships	1.0-rc.2
leedsgatesimple	2.3.1
Singing	0.1
SIUE	0.5
sfa	1.0
SPOKEdbO	1.0
Super8Festivals	1.0.0
SWHPL	1.1
TakeBack	1.0
ThanksRoy	2.7.3
defaultmod	1
TheAudio	1.0
projproj	2.0.3
TheDaily	1.6.3
theologia	1.0
hu3900	1.1
bordeaux3	0.1
Truth	2.4
U2TW	1
uccdigital	1.1.1
ucscexhibits	2.1.1
UHECMinimal	2.4.2
geolibrary	1.0.0
UPENNLIBEmiglio	2.3
upennkislakshadowpage	2.5
UPENNLIBSCShadowPageBootstrap	2.6
upennlibdefault	2.5
UVA	0.0.1
uwmspl	1.1.0
VintagePaperbacks	0.1.0
minify	1.0
rookie	0.1
aniyunwiya	1.1.1
